,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
89,Vyazemskiy,67,RU,1568878267,92,47.53,134.76,43.73,4.14
90,Sorong,35,ID,1568878268,89,-0.86,131.25,78.83,2.13
91,Port Maria,20,JM,1568878268,69,18.37,-76.89,82.4,6.93
92,Forestville,5,CA,1568878268,75,48.74,-69.09,41.0,6.93
93,Gawler,0,AU,1568878269,29,-34.6,138.75,82.0,2.24
94,Palafrugell,40,ES,1568878269,82,41.92,3.16,73.0,3.36
95,Demba,80,CD,1568878269,49,-5.47,22.27,88.55,3.38
96,Kuyanovo,100,RU,1568878269,66,56.95,86.47,62.81,14.72
97,Gat,20,SN,1568878270,88,14.69,-16.54,78.8,3.36
98,Esperance,40,AU,1568878270,54,-33.86,121.89,53.6,25.28
99,Labuhan,0,ID,1568878270,28,-2.54,115.51,96.65,1.74
100,Khandyga,100,RU,1568878270,81,62.65,135.58,38.69,3.31
101,Carnarvon,93,ZA,1568878271,8,-30.97,22.13,87.29,20.13
102,Saint George,20,GR,1568878271,50,39.45,22.34,78.8,8.08
103,Shahrud,0,IR,1568878272,22,36.42,54.97,70.73,9.57
104,Luderitz,100,NA,1568878272,91,-26.65,15.16,55.97,22.79
105,Arman,54,RU,1568878272,66,59.7,150.17,43.01,6.17
106,Lata,98,IN,1568878273,95,30.78,78.62,44.09,6.06
107,Saskylakh,100,RU,1568878273,86,71.97,114.09,39.05,6.96
108,New Norfolk,20,AU,1568878274,34,-42.78,147.06,68.0,17.22
109,Comonfort,75,MX,1568878274,93,20.72,-100.76,62.6,4.34
110,Hithadhoo,17,MV,1568878274,75,-0.6,73.08,83.33,10.0
111,Yellowknife,5,CA,1568878111,93,62.45,-114.38,37.4,8.05
112,Danlugan,98,PH,1568878275,82,7.89,123.37,77.75,2.24
113,Georgetown,0,GY,1568878275,100,6.8,-58.16,77.0,4.7
114,Berga,75,ES,1568878275,100,42.1,1.85,71.01,2.24
115,Krasnyy Chikoy,93,RU,1568878276,67,50.36,108.75,52.73,6.4
116,Morro Bay,90,US,1568878276,93,35.37,-120.85,64.0,2.89
117,Kozhva,93,RU,1568878277,68,65.11,57.05,44.27,6.8
118,Provideniya,40,RU,1568878277,65,64.42,-173.23,41.0,8.95
119,Montepuez,0,MZ,1568878277,23,-13.13,39.0,93.23,6.11
120,Robertsport,95,LR,1568878277,89,6.75,-11.37,77.21,4.99
121,Aksarka,99,RU,1568878278,84,66.56,67.8,48.59,7.56
122,Kushima,40,JP,1568878278,57,31.5,131.29,80.6,13.87
123,San Patricio,0,PY,1568878278,79,-26.98,-56.83,54.71,3.91
124,Helena,20,US,1568878278,71,46.59,-112.04,53.6,9.17
125,Pak Phanang,40,TH,1568878279,52,8.35,100.2,93.2,5.82
126,Constitucion,45,MX,1568878280,83,23.99,-104.67,54.89,4.54
127,Miraflores,0,PE,1568878280,42,-16.39,-71.52,48.2,1.3
128,Husavik,57,CA,1568878280,90,50.56,-96.99,59.0,3.0
129,Mayo,90,CA,1568878281,87,63.59,-135.9,46.4,11.41
130,Belaya Gora,100,RU,1568878281,71,68.54,146.19,35.27,10.65
131,Ambovombe,38,MG,1568878281,74,-25.18,46.09,71.09,13.78
132,Vila Franca do Campo,40,PT,1568878283,88,37.72,-25.43,71.6,10.29
133,Timbuktu,0,ML,1568878283,33,16.77,-3.01,93.59,11.3
134,Clonakilty,90,IE,1568878283,100,51.62,-8.87,51.8,5.82
135,Touros,20,BR,1568878284,100,-5.2,-35.46,69.8,3.36
136,Puerto Ayora,28,EC,1568878284,93,-0.74,-90.35,63.0,10.02
137,Adrar,0,DZ,1568878284,19,27.87,-0.29,80.6,14.99
138,Slave Lake,1,CA,1568878199,93,55.28,-114.77,42.8,2.24
139,Pevek,100,RU,1568878285,84,69.7,170.27,35.09,21.59
140,Huarmey,98,PE,1568878285,92,-10.07,-78.15,59.93,12.08
141,Faya,0,SA,1568878285,17,18.39,42.45,84.2,16.11
142,Bluff,24,AU,1568878286,56,-23.58,149.07,70.73,20.27
143,Vardo,1,US,1568878290,76,39.62,-77.74,57.99,3.36
144,Churapcha,98,RU,1568878293,74,62.0,132.43,39.41,8.14
145,Kushiro,20,JP,1568878294,41,43.11,144.15,59.0,13.87
146,Kalemie,76,CD,1568878297,30,-5.95,29.2,83.69,10.63
147,Timra,0,SE,1568878298,75,62.49,17.33,48.0,13.87
148,Tornio,75,FI,1568878300,93,61.12,27.27,44.6,1.12
149,Plastun,30,RU,1568878300,75,44.76,136.29,42.11,15.32
150,Meulaboh,59,ID,1568878300,78,4.14,96.13,83.33,9.86
151,Chokurdakh,1,RU,1568878301,76,70.62,147.9,32.21,12.97
152,Tuatapere,77,NZ,1568878301,87,-46.13,167.69,48.99,18.01
153,Sabang,100,PH,1568878301,69,13.8,121.11,84.99,5.01
154,Axim,25,GH,1568878302,86,4.87,-2.24,77.93,6.4
155,Mar del Plata,42,AR,1568878302,46,-46.43,-67.52,38.87,24.27
156,Channel-Port aux Basques,2,CA,1568878302,70,47.57,-59.14,49.49,10.18
157,Klaksvik,75,FO,1568878302,100,62.23,-6.59,50.0,3.36
158,Lakatoro,21,VU,1568878303,88,-16.11,167.42,77.0,12.75
159,Marzuq,3,YE,1568878303,14,14.4,46.47,89.99,12.44
160,Gannan,0,CN,1568878304,56,47.92,123.49,58.67,7.78
161,Lensk,85,RU,1568878304,63,60.71,114.91,40.49,4.41
162,Vung Tau,84,VN,1568878304,80,10.35,107.08,81.53,4.97
163,Nova Soure,82,BR,1568878304,96,-11.24,-38.48,68.39,8.01
164,Kodiak,1,US,1568878305,88,39.95,-94.76,73.99,5.82
165,Kruisfontein,100,ZA,1568878305,45,-34.0,24.73,77.93,8.99
166,Necochea,100,AR,1568878305,87,-38.55,-58.74,51.01,1.99
167,Tateyama,40,JP,1568878306,56,36.66,137.31,72.0,9.17
168,Hasaki,20,JP,1568878043,64,35.73,140.83,79.0,11.41
169,Mehamn,40,NO,1568878306,74,71.03,27.85,39.2,12.75
170,Balkhash,0,KZ,1568878307,24,46.84,74.98,80.6,11.18
171,Butaritari,0,KI,1568878307,64,3.07,172.79,85.85,6.82
172,Bonaventure,1,CA,1568878308,55,48.04,-65.49,37.99,9.08
173,Pervomayskoye,100,RU,1568878308,66,57.07,86.23,62.81,14.72
174,Carballo,0,ES,1568878308,100,43.21,-8.69,64.0,2.24
175,Arima,100,TT,1568878312,94,10.64,-61.28,75.99,10.54
176,Ilulissat,2,GL,1568878169,45,69.22,-51.1,26.6,14.43
177,Aswan,0,EG,1568878065,27,24.09,32.9,87.8,6.93
178,Faanui,80,PF,1568878312,84,-16.48,-151.75,76.85,14.54
179,Souillac,0,FR,1568878313,50,45.6,-0.6,57.99,13.87
180,Paamiut,73,GL,1568878313,72,61.99,-49.67,39.05,6.6
181,Saint-Philippe,1,CA,1568878313,87,45.36,-73.48,48.0,2.24
182,Kapit,100,MY,1568878314,48,2.02,112.94,91.07,3.22
183,Bethel,1,US,1568878314,100,60.79,-161.76,41.0,5.82
184,Goderich,1,CA,1568878169,85,43.74,-81.71,62.01,8.99
185,Saint-Augustin,20,CA,1568878315,100,45.63,-73.98,48.0,0.98
186,Conde,28,BR,1568878315,97,-11.81,-37.61,68.93,2.53
187,Port Lincoln,100,AU,1568878316,81,-34.72,135.86,59.75,19.1
188,Peleduy,100,RU,1568878316,80,59.63,112.75,36.71,5.12
189,Caravelas,0,BR,1568878316,89,-17.73,-39.27,70.55,9.26
190,Ahipara,100,NZ,1568878316,76,-35.17,173.16,57.59,7.81
191,Mastic Beach,1,US,1568878317,66,40.77,-72.85,55.99,4.7
192,Alice Town,10,BS,1568878317,70,25.72,-79.3,79.19,21.27
193,Tasiilaq,100,GL,1568878317,55,65.61,-37.64,35.6,4.7
194,Nenjiang,0,CN,1568878317,61,49.17,125.23,52.91,5.32
195,Kytmanovo,100,RU,1568878318,47,53.46,85.45,72.17,8.63
196,Luanda,75,AO,1568878318,94,-8.83,13.24,71.6,10.29
197,Dikson,99,RU,1568878318,90,73.51,80.55,40.85,16.33
198,Westport,1,US,1568878082,76,41.14,-73.36,54.0,8.05
199,Bad Sooden-Allendorf,0,DE,1568878319,87,51.27,9.97,50.0,2.24
200,Moose Factory,75,CA,1568878320,64,51.26,-80.61,69.8,17.22
201,Khao Yoi,75,TH,1568878320,74,13.24,99.82,86.0,6.93
202,Cabo San Lucas,10,MX,1568878320,52,22.89,-109.91,86.0,8.86
203,Haapsalu,20,EE,1568878321,57,58.95,23.55,51.8,6.93
204,Comodoro Rivadavia,0,AR,1568878321,45,-45.87,-67.48,42.8,13.87
205,Ust-Kulom,27,RU,1568878321,65,61.69,53.69,45.35,7.65
206,Micomeseng,99,GQ,1568878321,86,2.15,10.62,75.77,1.3
207,Gotemba,75,JP,1568878322,64,35.3,138.88,84.99,8.05
208,Shimoda,20,JP,1568878322,65,34.7,138.93,78.8,9.17
209,Ponta do Sol,36,BR,1568878322,33,-20.63,-46.0,67.85,6.51
210,Kahului,40,US,1568878307,58,20.89,-156.47,82.4,11.41
211,Soe,20,EE,1568878323,75,57.91,26.05,46.0,6.93
212,Pomabamba,19,PE,1568878323,89,-8.82,-77.46,41.03,1.59
213,Boromo,100,BF,1568878323,72,11.74,-2.93,81.35,6.91
214,Sola,0,TZ,1568878324,26,-3.17,33.8,86.93,7.0
215,Progreso,0,UY,1568878324,76,-34.68,-56.22,57.99,11.41
216,Ixtapa,90,MX,1568878324,94,20.71,-105.21,78.8,3.36
217,Shangrao,0,CN,1568878324,46,28.45,117.97,82.07,4.97
218,Lethem,99,GY,1568878325,88,3.38,-59.8,76.13,7.09
219,Mount Vernon,1,US,1568878263,93,38.73,-77.1,61.0,0.92
220,Winton,0,AU,1568878325,7,-22.38,143.04,73.97,7.11
221,San Quintin,100,PH,1568878325,95,17.54,120.52,73.79,4.72
222,Coquimbo,90,CL,1568878326,87,-29.95,-71.34,53.6,8.05
223,Fenyi,0,CN,1568878326,44,27.82,114.69,83.33,5.01
224,Castro,75,CL,1568878326,95,-42.48,-73.76,33.8,5.82
225,Qaqortoq,100,GL,1568878327,60,60.72,-46.03,41.0,2.24
226,Te Anau,95,NZ,1568878327,82,-45.41,167.72,42.83,5.46
227,Moussoro,39,TD,1568878327,34,13.64,16.49,92.87,3.13
228,Erzin,0,TR,1568878327,50,36.95,36.2,84.2,2.24
229,La Ronge,75,CA,1568878328,93,55.1,-105.3,46.4,2.24
230,Narsingi,90,IN,1568878328,88,18.04,78.43,79.0,3.36
231,Kavieng,100,PG,1568878328,72,-2.57,150.8,83.33,6.2
232,Codrington,0,AU,1568878328,64,-28.95,153.24,68.0,10.29
233,Seoul,75,KR,1568878329,33,37.57,126.98,78.8,3.36
234,Qarqin,0,AF,1568878329,6,37.41,66.03,98.81,5.26
235,Kabwe,0,ZM,1568878329,15,-14.44,28.44,85.67,10.8
236,Kemin,52,KG,1568878330,19,42.79,75.7,73.25,8.63
237,Emba,0,CY,1568878330,66,34.81,32.42,86.0,6.93
238,Uzunovo,90,BG,1568878330,59,41.84,25.1,62.6,3.36
239,Zhigansk,100,RU,1568878330,78,66.77,123.37,39.05,7.34
240,Dunedin,28,NZ,1568878331,61,-45.87,170.5,53.01,13.0
241,Verkhnevilyuysk,79,RU,1568878331,72,63.45,120.31,40.49,5.99
242,Richards Bay,100,ZA,1568878331,90,-28.77,32.06,71.27,4.14
243,Bandarbeyla,74,SO,1568878331,28,9.49,50.81,99.53,22.64
244,Megion,75,RU,1568878332,82,61.04,76.11,57.2,11.18
245,Sibolga,46,ID,1568878332,77,1.74,98.78,82.97,10.92
246,Brownsville,1,US,1568878332,83,25.91,-97.49,84.0,10.29
247,Kutum,0,SD,1568878333,22,14.2,24.66,87.65,15.9
248,Harper,1,US,1568878333,74,30.3,-99.24,80.6,5.08
249,Bolobo,81,CD,1568878333,56,-2.17,16.23,87.47,3.2
250,Mount Isa,0,AU,1568878333,5,-20.73,139.49,89.6,9.17
251,Alice Springs,0,AU,1568878334,6,-23.7,133.88,91.4,17.22
252,Longyearbyen,75,NO,1568878334,69,78.22,15.63,35.6,5.82
253,Pacifica,1,US,1568878334,93,37.61,-122.49,62.01,9.17
254,Airai,65,TL,1568878334,66,-8.93,125.41,74.15,5.32
255,Balabac,21,PH,1568878336,65,7.99,117.06,84.41,4.32
256,Buzmeyin,40,TM,1568878336,42,38.05,58.21,84.2,6.93
257,Minab,0,IR,1568878336,31,27.15,57.07,100.4,4.7
258,Vostok,100,RU,1568878337,99,46.45,135.83,42.11,5.99
259,Pangody,77,RU,1568878338,71,65.85,74.49,52.37,9.19
260,Fort-Shevchenko,0,KZ,1568878338,71,44.51,50.26,69.65,17.98
261,Nantucket,75,US,1568878288,71,41.28,-70.1,57.2,12.75
262,Cap Malheureux,20,MU,1568878338,57,-19.98,57.61,78.8,6.93
263,Quatre Cocos,20,MU,1568878339,57,-20.21,57.76,78.8,6.93
264,Saldanha,28,PT,1568878339,54,41.42,-6.55,71.81,4.36
265,Malanje,69,AO,1568878339,45,-9.54,16.35,84.05,3.91
266,Christchurch,10,NZ,1568878142,81,-43.53,172.64,52.0,9.17
267,Georgiyevka,27,RU,1568878340,63,52.25,40.45,54.17,15.05
268,Beidao,100,CN,1568878340,60,34.57,105.89,62.81,9.4
269,Umm Kaddadah,47,SD,1568878340,28,13.6,26.69,90.17,6.91
270,Upernavik,96,GL,1568878341,43,72.79,-56.15,27.71,7.25
271,Sinjar,0,SY,1568878341,16,35.59,37.0,93.23,3.24
272,Bathsheba,20,BB,1568878341,88,13.22,-59.52,77.0,2.24
273,Ponta Delgada,40,PT,1568878342,88,37.73,-25.67,71.6,10.29
274,Tautira,20,PF,1568878342,78,-17.73,-149.15,77.0,11.41
275,Bambous Virieux,20,MU,1568878343,57,-20.34,57.76,78.8,6.93
276,Salinas,1,US,1568878138,72,36.67,-121.66,63.0,4.94
277,Vestmannaeyjar,90,IS,1568878343,100,63.44,-20.27,51.8,18.34
278,Ayna,0,ES,1568878343,93,38.55,-2.07,64.99,3.36
279,Denpasar,20,ID,1568878344,74,-8.65,115.22,82.4,12.75
280,Bonavista,0,CA,1568878344,88,48.65,-53.11,41.0,7.0
281,Sfantu Gheorghe,40,RO,1568878344,38,44.65,26.83,62.01,16.11
282,Coahuayana,100,MX,1568878345,99,18.62,-100.35,68.39,1.07
283,Hamilton,75,CA,1568878305,87,43.26,-79.87,62.6,8.05
284,Cartersville,90,US,1568878345,68,34.17,-84.8,72.0,3.36
285,Aksu,0,KZ,1568878345,26,52.04,76.93,78.8,8.95
286,Point Pedro,99,LK,1568878346,81,9.82,80.23,83.15,25.61
287,Irati,62,BR,1568878346,99,-25.47,-50.65,59.57,1.79
288,Lasa,0,CY,1568878347,66,34.92,32.53,86.0,6.93
289,Saint-Joseph,40,FR,1568878347,83,43.56,6.97,73.99,2.24
290,Awbari,0,LY,1568878347,14,26.59,12.77,87.83,5.7
291,Praia,0,BR,1568878347,46,-20.25,-43.81,71.6,3.36
292,Trairi,13,BR,1568878348,89,-3.28,-39.27,71.63,7.99
293,Mecca,0,SA,1568878089,25,21.43,39.83,96.36,6.78
294,Jalu,0,LY,1568878348,21,29.03,21.55,88.19,1.5
295,Siguiri,71,GN,1568878349,89,11.42,-9.17,76.31,5.26
296,Tres Arroyos,100,AR,1568878349,41,-38.38,-60.28,48.59,12.48
297,Margate,20,AU,1568878349,34,-43.03,147.26,68.0,17.22
298,Trinidad,11,BO,1568878349,52,-14.83,-64.9,79.19,2.66
299,Verkhoyansk,0,RU,1568878350,54,67.55,133.39,39.23,0.51
300,Storsteinnes,75,NO,1568878350,93,69.24,19.23,37.4,4.7
301,Palmer,0,AU,1568878350,29,-34.85,139.16,82.0,2.24
302,Turtas,100,RU,1568878351,65,58.94,69.13,57.41,9.22
303,Aqtobe,0,KZ,1568878352,62,50.28,57.21,59.0,29.08
304,Khorinsk,100,RU,1568878352,64,52.16,109.78,47.87,8.3
305,Floresta,0,BR,1568878352,79,-8.6,-38.57,68.57,8.95
306,East London,40,ZA,1568878249,83,-33.02,27.91,69.8,13.87
307,La Tuque,37,CA,1568878207,94,47.44,-72.79,43.01,3.76
308,Kenora,90,CA,1568878353,93,49.76,-94.48,64.4,8.05
309,Kiunga,100,PG,1568878353,80,-6.12,141.3,79.37,2.62
310,Lagoa,0,PT,1568878162,82,37.14,-8.45,64.99,2.24
311,Tura,76,RU,1568878354,78,64.27,100.22,43.55,4.5
312,Guerrero Negro,0,MX,1568878354,78,27.97,-114.04,70.37,16.8
313,Hudiksvall,0,SE,1568878354,54,61.73,17.1,47.15,10.8
314,Gimbi,0,ET,1568878354,71,8.81,37.79,68.03,2.39
315,Fukue,20,JP,1568878355,44,35.03,136.69,80.6,8.05
316,Puebloviejo,75,CO,1568878355,100,10.99,-74.28,77.0,5.82
317,Stephenville,75,CA,1568878356,100,48.55,-58.59,37.4,2.24
318,Torbay,90,CA,1568878356,80,47.66,-52.73,43.0,10.29
319,Hobyo,0,SO,1568878356,47,5.35,48.53,89.81,26.64
320,Dumas,40,IN,1568878356,70,21.09,72.71,89.6,3.36
321,Vytegra,78,RU,1568878357,63,61.01,36.45,44.99,9.08
322,Aberdeen,1,US,1568878357,100,46.98,-123.82,59.0,4.7
323,Porbandar,40,IN,1568878358,67,21.64,69.61,93.2,9.17
324,Kondrovo,75,RU,1568878358,87,54.81,35.93,46.4,11.18
325,Mbandaka,100,CD,1568878358,59,0.05,18.26,85.67,3.36
326,Hirara,75,JP,1568878358,94,24.8,125.28,82.4,19.46
327,Pisco,90,PE,1568878359,82,-13.71,-76.2,61.0,5.82
328,Newton,12,US,1568878212,81,42.34,-71.21,48.2,10.29
329,Brae,75,GB,1568878359,93,60.4,-1.35,50.0,21.92
330,Naryan-Mar,19,RU,1568878359,62,67.67,53.09,44.99,5.99
331,Saryg-Sep,73,RU,1568878360,34,51.49,95.55,67.13,2.46
332,Itarema,33,BR,1568878360,89,-2.92,-39.92,72.17,6.51
333,Concepcion del Oro,45,MX,1568878360,66,24.63,-101.42,64.61,6.42
334,Esna,75,RO,1568878360,41,45.2,27.57,57.2,11.41
335,Redwater,1,CA,1568878361,87,53.95,-113.11,48.0,4.7
336,Texarkana,1,US,1568878361,94,33.44,-94.04,75.99,7.87
337,Krasnyye Chetai,49,RU,1568878361,78,55.69,46.16,48.95,13.22
338,Valdivia,15,CL,1568878362,100,-39.81,-73.25,28.4,4.12
339,Havoysund,75,NO,1568878362,80,71.0,24.66,35.6,26.4
340,Kautokeino,83,NO,1568878362,63,69.01,23.04,38.15,10.25
341,Dunda,40,IN,1568878362,70,30.62,78.32,84.2,5.82
342,Adet,0,ET,1568878363,59,11.26,37.49,73.43,4.59
343,Taoudenni,25,ML,1568878363,23,22.68,-3.98,98.63,3.65
344,Pokosnoye,0,RU,1568878363,49,55.53,101.05,62.27,6.53
345,Jinchang,91,CN,1568878364,38,38.52,102.19,59.03,10.83
346,Coos Bay,90,US,1568878364,100,43.37,-124.22,57.0,4.7
347,Turukhansk,100,RU,1568878364,70,65.8,87.96,53.09,15.88
348,Buarcos,52,PT,1568878364,88,40.16,-8.88,62.01,1.99
349,Bubaque,86,GW,1568878365,82,11.28,-15.83,78.47,5.37
350,Talara,100,PE,1568878365,91,-4.58,-81.27,61.01,14.29
351,Severo-Kurilsk,37,RU,1568878368,83,50.68,156.12,51.65,5.73
352,Nicolas Bravo,16,MX,1568878369,80,24.39,-104.74,53.63,3.44
353,Noumea,75,NC,1568878369,73,-22.28,166.46,75.0,17.22
354,Majene,0,ID,1568878369,74,-3.54,118.97,80.99,9.19
355,Tarko-Sale,89,RU,1568878370,80,64.92,77.78,57.0,3.94
356,Kaitangata,42,NZ,1568878370,58,-46.28,169.85,51.01,11.01
357,Herat,0,AF,1568878370,9,34.35,62.22,87.8,3.36
358,Ialibu,77,PG,1568878370,99,-6.28,143.99,66.77,2.55
359,Srivardhan,100,IN,1568878371,78,18.03,73.02,81.53,7.72
360,Zhanaozen,0,KZ,1568878371,26,43.35,52.85,83.15,5.32
361,Ciudad Bolivar,100,VE,1568878372,90,8.12,-63.55,75.23,2.28
362,Lavrentiya,31,RU,1568878372,91,65.58,-170.99,31.85,6.71
363,Pingliang,100,CN,1568878185,62,35.54,106.68,59.1,7.56
364,Andros Town,40,BS,1568878372,61,24.73,-77.79,80.6,11.41
365,Trelew,0,AR,1568878373,44,-43.25,-65.31,40.49,23.85
366,Bumbuna,89,SL,1568878373,91,9.05,-11.73,77.57,0.76
367,Yazman,0,SY,1568878373,14,36.74,38.46,91.43,4.97
368,Nouadhibou,39,MR,1568878374,69,20.93,-17.03,75.2,12.75
369,San-Pedro,100,CI,1568878374,92,4.75,-6.64,74.69,3.27
370,Hami,0,CN,1568878374,13,42.84,93.51,81.71,13.24
371,Kaili,100,ID,1568878375,84,-3.46,120.21,68.03,2.01
372,Utete,92,TZ,1568878375,41,-7.99,38.76,88.55,4.16
373,Sao Filipe,100,CV,1568878375,81,14.9,-24.5,78.65,8.14
374,Plettenberg Bay,100,ZA,1568878185,60,-34.05,23.37,69.36,2.71
